id,distrito,candidato,cargo,frente_alianza,actividad_actual,referente,agrupacion,alineamiento,particularidades,the_geom,cartodb_id,created_at,updated_at
8,Moreno,Lucas Franco,Intendente,PROGRESISTAS,,,,,,,42,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
9,Avellaneda,Jorge Ferraresi,Intendente,FPV,INTENDENTE,,,Neutral,En 2009 asume como interino en reemplazo de Cacho Alvarez (4 mandatos). En 2011 fue electo con el 54%,,43,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
9,Avellaneda,Gladys Gonzalez,Intendente,CAMBIEMOS,DIP NAC,,PRO,Vidal,Fue dir del Banco Ciudad y Subsec de At Ciudadana. ,,44,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
9,Avellaneda,Sandra Alice,Intendente,UNA,CONCEJAL,,,Sola,Presidenta del bloque del FR.,,45,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
9,Avellaneda,Armando Bertolotto,Intendente,UNA,CONCEJAL,De Narvaez,,Sola,Ex hombre de Ferraresi. ,,46,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
9,Avellaneda,Jorge Alessi,Intendente,UNA,CONCEJAL,Sola / Cacho Alvarez,,Sola,,,47,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
10,Tres De Febrero,Hugo Curto,Intendente,FPV,INTENDENTE,,PJ,Dominguez,Int desde 1991. Compite por un séptimo mandato.  ,,48,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
10,Tres De Febrero,Marcelo Locatti,Intendente,CAMBIEMOS,EMPRESARIO,,UCR,,Presentta una lista radical pura. ,,49,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
10,Tres De Febrero,Diego Valenzuela,Intendente,CAMBIEMOS,SUBSEC UPE AMBA - GCBA,,PRO,Vidal,,,50,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
10,Tres De Febrero,Eduardo Márquez,Intendente,UNA,CONCEJAL,,,Sola,Hasta hace unos meses integraba el bloque de Curto. Tiene el rechazo de Caamaño. ,,52,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
