cabecera,departamento,codigo,the_geom,cartodb_id,created_at,updated_at
GENERAL JUAN MADARIAGA,GENERAL JUAN MADARIAGA,06315,0101000020E6100000566C516B72A34CC0F0310070069442C0,51,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
MAGDALENA,MAGDALENA,06505,0101000020E6100000006037F5C1CF4CC068F7FFFF0C9841C0,52,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
SAN FERNANDO,SAN FERNANDO,06749,0101000020E610000074C6AA4A02484DC0D4D1FFDF891341C0,53,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
CAMPANA,CAMPANA,06126,0101000020E6100000D802D7861A724DC0F42A0000BF1441C0,54,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
BRANDSEN,BRANDSEN,06119,0101000020E610000078CB4E11F31E4DC0488E00B0529941C0,55,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
25 DE MAYO,25 DE MAYO,06854,0101000020E610000040B033EE20244EC060E8FFBFEBC641C0,56,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
9 DE JULIO,9 DE JULIO,06588,0101000020E610000097E18B0F8F764EC0C8DFFFBF38C241C0,57,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
RAUCH,RAUCH,06672,0101000020E6100000DE18DC8B66754DC0E4BCFF8F134D42C0,58,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
NECOCHEA,NECOCHEA,06581,0101000020E61000000E6DE4BB508E4DC084D4FFCF871643C0,59,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
GUERNICA,PRESIDENTE PERON,06648,0101000020E6100000F985C7EAE5344DC0F0C4FF5FED7841C0,60,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
CARLOS CASARES,CARLOS CASARES,06147,0101000020E61000008C75B7015FA74EC04CD1FFAF90DC41C0,61,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
PILAR,PILAR,06638,0101000020E610000066864CAE29734DC0CBF5FF6F213841C0,62,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
MEDANOS,VILLARINO,06875,0101000020E6100000ACBCD788936E4FC030110000069443C0,63,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
ITUZAINGO,ITUZAINGO,06410,0101000020E61000000A6DD03C39584DC0302700B0EE5141C0,64,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
ARRECIFES,ARRECIFES,06077,0101000020E6100000AB0FDB0006024EC090FF0040950041C0,65,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
GENERAL RODRIGUEZ,GENERAL RODRIGUEZ,06364,0101000020E61000002890E4F3437F4DC0DCE600A0EE5141C0,66,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
LA PLATA,LA PLATA,06441,0101000020E61000005221971257FD4CC0BC0A00C0578341C0,67,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
CAPITAN SARMIENTO,CAPITAN SARMIENTO,06140,0101000020E61000009A16F08B3EEC4DC06CC30040301241C0,68,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
OLAVARRIA,OLAVARRIA,06595,0101000020E61000000AE06192695B4EC0541300C0AA6D42C0,69,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
